Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
neal shipley,0,0,0,0,0,4,0.0
kristoffer reitan,-0.54,-1.39,0.95,-1.7,-2.24,1,0.7
kristoffer reitan,-1.18,0.89,0.96,2.88,1.69,2,0.5714
kristoffer reitan,0,0,0,0,0,3,0.0
kristoffer reitan,0,0,0,0,0,4,0.0
aaron rai,0.99,0.58,0.89,2.77,3.76,1,0.7143
aaron rai,-1.08,-0.65,-2.37,-4.22,-5.31,2,0.3333
aaron rai,0,0,0,0,0,3,0.0
aaron rai,0,0,0,0,0,4,0.0
viktor hovland,-0.48,0.37,1.07,2.24,1.76,1,0.5
viktor hovland,-1.91,-1.36,1.09,-1.39,-3.31,2,0.4444
viktor hovland,0,0,0,0,0,3,0.0
viktor hovland,0,0,0,0,0,4,0.0
jesper svensson,-1.05,2.65,0.37,3.81,2.76,1,0.8
jesper svensson,-3.61,-1.11,2.1,-0.69,-4.31,2,0.5
jesper svensson,0,0,0,0,0,3,0.0
jesper svensson,0,0,0,0,0,4,0.0
paul peterson,0.95,2.3,-1.78,0.81,1.76,1,0.7778
paul peterson,-2,-0.28,0.46,-1.31,-3.31,2,0.5455
paul peterson,0,0,0,0,0,3,0.0
paul peterson,0,0,0,0,0,4,0.0
paul waring,-0.29,1.2,-0.45,-2.94,-3.24,1,0.5833
paul waring,0.09,-0.91,0.77,1.61,1.69,2,0.3333
paul waring,0,0,0,0,0,3,0.0
paul waring,0,0,0,0,0,4,0.0
pontus nyholm,-1.99,-0.41,0.92,-0.25,-2.24,1,0.6667
pontus nyholm,-0.63,0.01,0.43,1.32,0.69,2,0.7143
pontus nyholm,0,0,0,0,0,3,0.0
pontus nyholm,0,0,0,0,0,4,0.0
zachary bauchou,1.73,0.34,-0.4,1.03,2.76,1,0.5714
zachary bauchou,-2.43,0.3,-2.91,-1.88,-4.31,2,0.4615
zachary bauchou,0,0,0,0,0,3,0.0
zachary bauchou,0,0,0,0,0,4,0.0
michael brennan,0.31,-3.26,1.7,-3.54,-3.24,1,0.3333
michael brennan,-0.52,1.39,1.02,2.22,1.69,2,0.75
michael brennan,0,0,0,0,0,3,0.0
michael brennan,0,0,0,0,0,4,0.0
marcelo rozo,0.67,-0.1,-1.47,-1.9,-1.24,1,0.7778
marcelo rozo,-0.08,-1.47,-1.02,-0.23,-0.31,2,0.5
marcelo rozo,0,0,0,0,0,3,0.0
marcelo rozo,0,0,0,0,0,4,0.0
nick taylor,-0.34,0.66,-2.12,0.1,-0.24,1,0.5556
nick taylor,-1.06,1.21,-1.97,-1.25,-2.31,2,0.5
nick taylor,0,0,0,0,0,3,0.0
nick taylor,0,0,0,0,0,4,0.0
nick dunlap,0.63,-1.64,-3.05,-2.86,-2.24,1,0.5
nick dunlap,1.53,-0.05,-1.34,-1.83,-0.31,2,0.6667
nick dunlap,0,0,0,0,0,3,0.0
nick dunlap,0,0,0,0,0,4,0.0
austin eckroat,-1.48,-3.82,-0.3,-4.75,-6.24,1,0.5
austin eckroat,0.1,0.6,-0.08,3.59,3.69,2,0.667
austin eckroat,0,0,0,0,0,3,0.0
austin eckroat,0,0,0,0,0,4,0.0
peter malnati,-1.86,-0.01,0.36,-0.37,-2.24,1,0.5
peter malnati,1.56,-1.53,-0.89,-1.86,-0.31,2,0.5
peter malnati,0,0,0,0,0,3,0.0
peter malnati,0,0,0,0,0,4,0.0
max mcgreevy,-2.22,-0.21,0.67,1.98,-0.24,1,0.6667
max mcgreevy,-0.83,-1.09,0.54,-1.47,-2.31,2,0.3636
max mcgreevy,0,0,0,0,0,3,0.0
max mcgreevy,0,0,0,0,0,4,0.0
luke guthrie,-1.09,2.1,0.26,2.85,1.76,1,0.9
luke guthrie,0.12,0.25,-3.2,-4.42,-4.31,2,0.5
luke guthrie,0,0,0,0,0,3,0.0
luke guthrie,0,0,0,0,0,4,0.0
jackson suber,-0.8,1.91,-1.84,-1.44,-2.24,1,0.6667
jackson suber,-0.82,-0.35,-0.14,0.51,-0.31,2,0.5714
jackson suber,0,0,0,0,0,3,0.0
jackson suber,0,0,0,0,0,4,0.0
dan brown,-2.8,-2.27,-0.38,-0.44,-3.24,1,1.0
dan brown,-0.69,1.27,0.48,1.39,0.69,2,0.75
dan brown,0,0,0,0,0,3,0.0
dan brown,0,0,0,0,0,4,0.0
danny willett,0.55,1.29,0,-1.79,-1.24,1,0.75
danny willett,-1.1,-0.1,-0.14,-1.2,-2.31,2,0.6
danny willett,0,0,0,0,0,3,0.0
